Artist,msPlayed,Duration_Minutes
Nonpoint,293179,4.886316666666667
Northlane,251133,4.18555
Nothing But Thieves,5150,0.08583333333333333
Novaj,229500,3.825
Oasis,2602,0.043366666666666664
Of Mice & Men,5285047,88.08411666666667
"Oh, Sleeper",1204,0.020066666666666667
Oleander,1950,0.0325
Olly Steele,1964757,32.74595
Orbit Culture,1442,0.024033333333333334
Orgy,4483,0.07471666666666667
Outkast,270506,4.5084333333333335
Ov Sulfur,44333,0.7388833333333333
Ozzy Osbourne,1612723,26.878716666666666
P.O.D.,58671,0.97785
P.T. Adamczyk,1501747,25.029116666666667
PARENTS,41333,0.6888833333333333
PSYCHO-FRAME,803320,13.388666666666667
Panic! At The Disco,4270,0.07116666666666667
Pantera,4618471,76.97451666666667
Paolo Nutini,4098,0.0683
Papa Roach,59108,0.9851333333333333
Paramore,684943,11.415716666666667
Parkway Drive,43424,0.7237333333333333
Pat Benatar,1354,0.022566666666666665
Patrice Rushen,1039500,17.325
Paul Anka,941,0.015683333333333334
Paul Engemann,706,0.011766666666666667
Pearl Jam,2481491,41.358183333333336
Pentatonix,399192,6.6532
People In Planes,713,0.011883333333333333
Perchard's Wall,485136,8.0856
Periphery,12759637,212.66061666666667
Perturbator,264266,4.404433333333333
Pet Shop Boys,620,0.010333333333333333
Peter Bjorn and John,210526,3.508766666666667
Peter Cat Recording Co.,964244,16.070733333333333
PhaseOne,1900655,31.677583333333335
Phil Collins,2437,0.04061666666666667
Philary,234624,3.9104
Philip Sayce,306666,5.1111
Phinehas,1234,0.020566666666666667
Phoebe Killdeer,222490,3.7081666666666666
Phoenix,4223,0.07038333333333334
Pierce The Veil,2193,0.03655
Pink Floyd,4786685,79.77808333333333
Pink Fuzz,395473,6.591216666666667
Placebo,5062,0.08436666666666667
Player,18636,0.3106
Polaris,1912996,31.883266666666668
Pop Evil,221651,3.694183333333333
Porcupine Tree,934809,15.58015
Porno for Pyros,1317,0.02195
Powerman 5000,1040,0.017333333333333333
Poylow,156241,2.604016666666667
Priestess,638,0.010633333333333333
Primus,18240,0.304
Prince,2585,0.043083333333333335
Profanatica,54753,0.91255
Protest The Hero,32150624,535.8437333333334
Puddle Of Mudd,247430,4.123833333333334
Pulse Ultra,234600,3.91
Puscifer,705994,11.766566666666666
Quantic,446026,7.433766666666667
Queen,2094,0.0349
Queens of the Stone Age,228111,3.80185
R E L,387316,6.455266666666667
R.E.M.,34470,0.5745
RAT BOY,122528,2.042133333333333
REZN,246106,4.101766666666666
RUBII,2443236,40.7206
Racoma,190059,3.16765
Radiohead,103003,1.7167166666666667
Rage Against The Machine,113305,1.8884166666666666
Rammstein,65193,1.08655
Rapallo,703684,11.728066666666667
Ratt,10418,0.17363333333333333
Ray Charles,1087,0.018116666666666666
ReVamp,686,0.011433333333333334
Red Dead Roadkill,790115,13.168583333333334
Red Hot Chili Peppers,2527319,42.12198333333333
Red Sun Atacama,214279,3.5713166666666667
Red Sun Rising,2155,0.035916666666666666
Redbone,872,0.014533333333333334
Reflection,238719,3.97865
Refused,1446174,24.1029
Reignwolf,684344,11.405733333333334
